,TRIAL,STx,Nrate,GY
239,831,loamy sand,125.0,11.2
240,831,loamy sand,185.0,11.3
241,831,loamy sand,250.0,12.0
242,831,loamy sand,250.0,12.7
243,831,loamy sand,300.0,11.9
244,836,sandy loam,0.0,2.7
245,836,sandy loam,125.0,3.6
246,836,sandy loam,185.0,3.5
247,836,sandy loam,250.0,4.1
248,836,sandy loam,250.0,4.0
249,836,sandy loam,300.0,3.8
250,901,silt loam,0.0,4.197
251,901,silt loam,60.0,8.756
252,901,silt loam,120.0,9.62
253,901,silt loam,180.0,12.265
254,901,silt loam,260.0,12.436
255,902,silt loam,0.0,8.744
256,902,silt loam,70.0,12.692
257,902,silt loam,140.0,14.405999999999999
258,902,silt loam,210.0,11.982999999999999
259,904,loam,0.0,14.914000000000001
260,904,loam,70.0,15.728
261,904,loam,140.0,15.843
262,904,loam,210.0,16.980999999999998
263,906,loam,0.0,13.704
264,906,loam,70.0,15.957
265,906,loam,140.0,16.652
266,906,loam,210.0,18.557000000000002
267,946,silt loam,0.0,4.343999999999999
268,946,silt loam,60.0,7.553999999999999
269,946,silt loam,120.0,10.128
270,946,silt loam,180.0,13.175
271,946,silt loam,240.0,14.501
272,949,silt loam,0.0,10.508
273,949,silt loam,60.0,13.026
274,949,silt loam,120.0,13.549000000000001
275,949,silt loam,180.0,13.205
276,949,silt loam,240.0,13.630999999999998
277,953,silt loam,0.0,11.049000000000001
278,953,silt loam,60.0,10.862
279,953,silt loam,120.0,10.787
280,953,silt loam,180.0,10.569
281,953,silt loam,240.0,11.565
282,957,silt loam,0.0,13.86
283,957,silt loam,60.0,15.38
284,957,silt loam,120.0,16.884
285,957,silt loam,180.0,16.281
286,957,silt loam,240.0,16.163
287,959,silt loam,0.0,12.890999999999998
288,959,silt loam,60.0,15.038
289,959,silt loam,120.0,16.308
290,959,silt loam,180.0,17.208
291,959,silt loam,240.0,16.634
292,961,sandy loam,0.0,11.834000000000001
293,961,sandy loam,60.0,15.703
294,961,sandy loam,120.0,16.249000000000002
295,961,sandy loam,180.0,16.471
296,961,sandy loam,240.0,17.99
297,965,silt loam,0.0,10.296
298,965,silt loam,60.0,12.612
299,965,silt loam,120.0,14.302
300,965,silt loam,180.0,14.347999999999999
301,965,silt loam,240.0,14.949000000000002
302,1033,loam,0.0,4.3
303,1033,loam,101.0,8.1
304,1033,loam,202.0,8.9
