,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
121,331,silty clay loam,45,16.25,16.108,17.038,0.14199999999999946,0.8815495406009403,3.156
122,331,silty clay loam,67,17.038,16.108,17.038,0.9299999999999997,5.773528681400545,13.881
123,331,silty clay loam,90,16.972,16.108,17.038,0.8640000000000008,5.363794387881803,9.6
124,331,silty clay loam,179,16.423,16.108,17.038,0.3149999999999977,1.9555500372485581,1.76
126,372,silty clay,30,10.081,9.652999999999999,13.485999999999999,0.4280000000000008,4.433854760178193,14.267
131,372,silty clay,30,10.366,9.652999999999999,13.485999999999999,0.713000000000001,7.386304775717405,23.767
127,372,silty clay,60,11.235,9.652999999999999,13.485999999999999,1.5820000000000007,16.38868745467731,26.367
132,372,silty clay,60,12.465,9.652999999999999,13.485999999999999,2.812000000000001,29.130840153320225,46.867
128,372,silty clay,90,11.640999999999998,9.652999999999999,13.485999999999999,1.9879999999999995,20.594633792603332,22.089
133,372,silty clay,90,13.103,9.652999999999999,13.485999999999999,3.450000000000001,35.740184398632564,38.333
129,372,silty clay,130,12.402000000000001,9.652999999999999,13.485999999999999,2.7490000000000023,28.478193307779993,21.146
134,372,silty clay,130,13.485999999999999,9.652999999999999,13.485999999999999,3.833,39.70786284056771,29.485
130,372,silty clay,200,12.412,9.652999999999999,13.485999999999999,2.759000000000002,28.581788045167333,13.795
135,372,silty clay,200,13.280999999999999,9.652999999999999,13.485999999999999,3.628,37.58417072412722,18.14
137,393,loam,45,9.834,7.277,12.349,2.5569999999999995,35.13810636251202,56.822
138,393,loam,89,10.561,7.277,12.349,3.284,45.128487013879344,36.899
139,393,loam,134,11.662,7.277,12.349,4.385000000000001,60.25834822042051,32.724
140,393,loam,179,11.865,7.277,12.349,4.588,63.04795932389721,25.631
141,393,loam,224,12.349,7.277,12.349,5.072,69.69905180706336,22.643
143,424,loam,190,6.516,6.664,10.825999999999999,-0.1479999999999997,-2.220888355342132,-0.779
144,424,loam,224,10.825999999999999,6.664,10.825999999999999,4.161999999999999,62.45498199279711,18.58
146,454,silt loam,34,8.012,7.909,8.48,0.10300000000000065,1.3023138196990853,3.029
147,454,silt loam,140,8.48,7.909,8.48,0.5710000000000006,7.219623214059939,4.079
149,489,sandy loam,56,6.671,4.316,10.015,2.3550000000000004,54.564411492122346,42.054
150,489,sandy loam,112,8.752,4.316,10.015,4.436000000000001,102.78035217794258,39.607
151,489,sandy loam,168,9.687999999999999,4.316,10.015,5.371999999999999,124.46709916589434,31.976
152,489,sandy loam,224,8.673,4.316,10.015,4.357,100.94995366079704,19.451
153,489,sandy loam,280,9.799,4.316,10.015,5.483,127.03892493049118,19.582
154,489,sandy loam,336,10.015,4.316,10.015,5.699000000000001,132.04355885078778,16.961
156,554,silty clay loam,50,12.797,10.722999999999999,13.382,2.0740000000000016,19.341602163573643,41.48
157,554,silty clay loam,101,13.023,10.722999999999999,13.382,2.3000000000000007,21.449221300009334,22.772
158,554,silty clay loam,151,13.023,10.722999999999999,13.382,2.3000000000000007,21.449221300009334,15.232
159,554,silty clay loam,202,13.095999999999998,10.722999999999999,13.382,2.3729999999999993,22.130000932574834,11.748
160,554,silty clay loam,252,13.382,10.722999999999999,13.382,2.6590000000000007,24.797164972489053,10.552
162,659,silty clay,50,7.2620000000000005,4.329,12.321,2.9330000000000007,67.75236775236777,58.66
163,659,silty clay,101,10.315,4.329,12.321,5.986,138.27673827673829,59.267
164,659,silty clay,151,11.73,4.329,12.321,7.401000000000001,170.963270963271,49.013
165,659,silty clay,202,11.786,4.329,12.321,7.457,172.25687225687227,36.916
166,659,silty clay,252,12.321,4.329,12.321,7.992,184.6153846153846,31.714
168,675,silt loam,168,12.565,6.797999999999999,15.05,5.767,84.8337746395999,34.327
169,675,silt loam,336,15.05,6.797999999999999,15.05,8.252000000000002,121.38864371874085,24.56
171,677,loam,168,12.507,4.6930000000000005,14.547,7.813999999999999,166.5033027913914,46.512
172,677,loam,336,14.547,4.6930000000000005,14.547,9.854,209.972299168975,29.327
174,678,silt loam,168,13.157,8.363999999999999,13.599,4.793000000000001,57.30511716881877,28.53
175,678,silt loam,336,13.599,8.363999999999999,13.599,5.235000000000001,62.58967001434722,15.58
177,739,silt loam,45,6.056,6.068,11.338,-0.011999999999999567,-0.19775873434409305,-0.267
178,739,silt loam,90,8.601,6.068,11.338,2.5330000000000013,41.74357284113384,28.144
179,739,silt loam,134,11.338,6.068,11.338,5.27,86.84904416611734,39.328
180,739,silt loam,179,10.999,6.068,11.338,4.931000000000001,81.26235992089653,27.547
181,739,silt loam,224,8.477,6.068,11.338,2.4090000000000007,39.70006591957813,10.754
182,739,silt loam,269,9.35,6.068,11.338,3.282,54.08701384311141,12.201
184,744,silt loam,84,5.4,2.9,6.6,2.5000000000000004,86.20689655172416,29.762
185,744,silt loam,168,6.6,2.9,6.6,3.6999999999999997,127.58620689655172,22.024
187,746,silt loam,84,6.1,2.8,6.9,3.3,117.85714285714286,39.286
188,746,silt loam,168,6.9,2.8,6.9,4.1000000000000005,146.42857142857147,24.405
190,782,loam,46,11.474,10.837,14.183,0.6370000000000005,5.878010519516476,13.848
191,782,loam,92,12.207,10.837,14.183,1.370000000000001,12.641875057672797,14.891
192,782,loam,138,13.227,10.837,14.183,2.3900000000000006,22.054074005721148,17.319
193,782,loam,184,14.183,10.837,14.183,3.346,30.875703608009598,18.185
194,782,loam,230,14.183,10.837,14.183,3.346,30.875703608009598,14.548
196,784,silt loam,46,6.566,6.247000000000001,7.0120000000000005,0.31899999999999906,5.106451096526317,6.935
197,784,silt loam,92,7.0120000000000005,6.247000000000001,7.0120000000000005,0.7649999999999997,12.24587802145029,8.315
198,784,silt loam,138,6.087999999999999,6.247000000000001,7.0120000000000005,-0.15900000000000158,-2.545221706419106,-1.152
199,784,silt loam,184,6.757000000000001,6.247000000000001,7.0120000000000005,0.5099999999999998,8.16391868096686,2.772
200,784,silt loam,230,6.534,6.247000000000001,7.0120000000000005,0.28699999999999903,4.594205218504866,1.248
202,787,loam,67,12.0,9.6,13.2,2.4000000000000004,25.000000000000007,35.821
203,787,loam,134,12.0,9.6,13.2,2.4000000000000004,25.000000000000007,17.91
204,787,loam,269,13.2,9.6,13.2,3.5999999999999996,37.5,13.383
206,790,silty clay loam,67,9.9,5.7,12.2,4.2,73.68421052631578,62.687
207,790,silty clay loam,134,11.9,5.7,12.2,6.2,108.77192982456141,46.269
208,790,silty clay loam,269,12.2,5.7,12.2,6.499999999999999,114.03508771929822,24.164
210,793,silt loam,67,14.2,12.9,14.6,1.299999999999999,10.077519379844952,19.403
211,793,silt loam,134,14.3,12.9,14.6,1.4000000000000004,10.852713178294577,10.448
212,793,silt loam,269,14.6,12.9,14.6,1.6999999999999993,13.178294573643404,6.32
214,801,silty clay loam,67,10.9,5.6,13.3,5.300000000000001,94.64285714285717,79.104
215,801,silty clay loam,134,12.4,5.6,13.3,6.800000000000001,121.42857142857144,50.746
216,801,silty clay loam,269,13.3,5.6,13.3,7.700000000000001,137.50000000000003,28.625
218,804,silty clay,67,9.4,8.8,9.7,0.5999999999999996,6.818181818181814,8.955
219,804,silty clay,134,9.7,8.8,9.7,0.8999999999999986,10.22727272727271,6.716
220,804,silty clay,269,9.7,8.8,9.7,0.8999999999999986,10.22727272727271,3.346
222,807,silty clay loam,67,9.8,8.7,9.9,1.1000000000000014,12.643678160919558,16.418
223,807,silty clay loam,134,9.9,8.7,9.9,1.200000000000001,13.793103448275875,8.955
224,807,silty clay loam,269,9.9,8.7,9.9,1.200000000000001,13.793103448275875,4.461
226,811,silty clay loam,67,12.1,10.1,13.2,2.0,19.801980198019802,29.851
227,811,silty clay loam,134,13.1,10.1,13.2,3.0,29.7029702970297,22.388
228,811,silty clay loam,269,13.2,10.1,13.2,3.0999999999999996,30.693069306930692,11.524
230,815,silty clay loam,67,14.0,13.0,14.4,1.0,7.6923076923076925,14.925
231,815,silty clay loam,134,14.3,13.0,14.4,1.3000000000000007,10.000000000000005,9.701
232,815,silty clay loam,269,14.4,13.0,14.4,1.4000000000000004,10.769230769230772,5.204
234,817,silty clay loam,90,8.538,7.165,8.668,1.3730000000000002,19.162595952547107,15.256
235,817,silty clay loam,134,8.668,7.165,8.668,1.5029999999999992,20.976971388695034,11.216
236,817,silty clay loam,179,7.83,7.165,8.668,0.665,9.281228192602931,3.715
237,817,silty clay loam,224,8.045,7.165,8.668,0.8799999999999999,12.28192602930914,3.929
239,831,loamy sand,125,11.2,3.5,12.7,7.699999999999999,219.99999999999997,61.6
240,831,loamy sand,185,11.3,3.5,12.7,7.800000000000001,222.85714285714286,42.162
